account_number,user_id,transaction_date_time,product_id,product_quantity,product_unit_price
955,wphippin0,2019-10-03 22:12:29,554,4,4376.45
38,ncisco1,2019-09-26 10:35:14,94,4,3355.05
880,dwallbrook2,2019-06-28 19:11:19,526,4,1399.29
678,mfike3,2019-11-11 13:33:29,713,4,1323.27
716,marsmith4,2019-04-13 19:54:53,356,5,1120.69
872,ltinton5,2018-07-05 18:31:22,197,4,3269.74
849,hpittendreigh6,2019-01-21 23:39:40,471,6,3076.45
210,ncohane7,2018-04-13 23:33:03,151,3,3012.36
76,bwoodhams8,2019-08-30 20:16:31,90,1,3459.82
114,nmatejic9,2018-03-04 07:50:50,582,8,441.03
865,jbambridgea,2019-09-01 04:00:03,334,6,3061.46
637,nsimmankb,2018-12-11 01:12:35,402,7,4564.54
68,jbendonc,2019-11-08 04:30:56,652,4,449.1
678,kcanetd,2019-03-20 06:31:29,495,5,923.93
432,ajaggerse,2019-09-01 01:33:55,340,10,4404.0
25,gnylandf,2019-10-04 06:25:38,459,4,1777.54
849,wboatswaing,2018-07-25 03:58:40,238,10,300.56
38,dandreolettih,2018-07-28 17:05:11,481,3,4497.7
311,mlorinczi,2018-03-05 21:33:38,80,6,2609.71
574,bclintj,2019-08-13 23:19:31,577,5,4572.38
850,cpetracekk,2019-05-11 00:56:00,116,7,2952.13
472,plocktonl,2019-09-07 22:45:30,501,6,2021.97
98,corchardm,2018-03-05 09:34:46,13,9,2418.76
708,ecolchettn,2018-05-18 23:47:20,561,8,4668.69
384,jcrusto,2018-05-23 13:22:51,499,8,1117.36
277,qrogierp,2017-12-18 21:55:25,552,10,3633.35
114,fjeffriesq,2018-07-14 05:04:19,543,10,1930.91
89,rmattusevichr,2018-10-21 07:01:54,653,3,504.97
619,dwinketts,2019-01-25 21:23:35,862,5,3823.16
916,kcowderyt,2019-03-20 22:29:06,112,4,2808.96
9,ethibodeauxu,2018-12-21 06:42:27,114,8,4233.59
245,kovenv,2018-09-14 02:09:46,96,10,3645.48
401,goneliganw,2019-06-30 17:54:05,460,9,2313.95
858,bbartlomiejczykx,2019-07-12 09:56:37,433,9,2269.12
444,ladshady,2018-04-27 22:13:02,392,8,1270.21
783,mivachyovz,2019-04-07 20:04:04,776,9,2565.03
352,bfinker10,2018-10-18 09:08:49,447,2,615.89
31,hyetman11,2018-11-07 23:46:49,719,3,2617.28
401,vdoggett12,2019-09-05 09:14:56,220,10,3511.56
999,jkocher13,2018-03-20 16:31:43,303,4,3495.9
912,gdolby14,2018-02-16 20:11:20,352,3,2644.18
